,x,y,w,h,gray,label
20,269.5,191.5,125,23,136.54,1
20,318.6,110.38,107.21,40.3,128.66,0
20,173.15,49.93,172.28,40.26,68.03,0
21,312,398,74,30,137.91,0
21,193,215.5,60,19,166.7,1
21,139.5,116,81,24,94.58,0
21,444.98,95.7,114.8,53.05,129.42,0
22,197,205.5,64,19,101.64,1
23,442.5,463,73,32,143.53,0
23,349.5,380.5,75,31,148.68,0
23,246.5,211,73,20,121.32,1
23,423.44,123.92,117.95,49.63,128.23,0
23,69.5,49,91,40,114.16,0
24,219.5,199,71,18,86.27,1
25,156.5,374,59,20,112.8,0
25,257.5,217.5,79,27,61.07,1
26,191.5,437,75,22,65.22,0
26,363.5,429.5,55,23,123.88,0
26,195.5,211,59,20,119.86,1
27,241,222,60,20,146.07,1
28,252,212.5,74,17,99.04,1
28,40.5,168.47,81.43,20.78,126.81,0
28,182,84.94,112.86,38.99,119.54,0
29,223,207,102,40,99.31,1
29,216.5,113.5,61,25,66.98,0
29,436,102,84,32,54.89,0
29,218.5,13,55,26,57.84,0
30,224,205.5,72,21,101.21,1
30,286,19,92,38,173.12,0
31,233,221.5,124,29,89.04,1
32,112,454,60,22,26.87,0
32,402,395.5,76,17,145.39,0
32,237,393,76,24,58.47,0
32,363,324,50,22,161.24,0
32,262,246,58,20,118.9,1
32,250,194.5,66,25,147.39,0
32,177.5,92.5,65,29,95.88,0
33,261.5,218,67,18,63.63,1
34,270.5,212,79,20,110.16,1
34,145.5,171.5,99,43,184.82,0
35,238,424,50,24,114.93,0
35,23.5,244.5,47,23,64.31,0
35,302,231,54,20,186.29,1
35,127.5,216,61,26,189.24,0
35,391.5,183.5,55,19,167.7,0
36,266,212.5,60,19,127.65,1
37,227.5,465,79,28,99.64,0
37,428.75,448.53,108.36,47.41,165.95,0
37,67.5,399,115,54,96.62,0
37,227.5,228.5,67,19,139,1
38,263,211,86,20,82.6,1
38,310,21,84,36,49.62,0
39,253,214,64,20,103.89,1
39,345.5,191.5,61,21,166.23,0
40,71,317,54,26,182.37,0
40,187.36,194.76,122.8,39.64,89.2,1
40,440,112,78,32,146.35,0
41,43,462,80,22,17.02,0
41,373.41,283.63,123.29,46.24,152.32,0
41,243.5,219.5,77,21,60.06,1
41,343.5,14.5,93,29,157.21,0
42,190.5,192.5,61,19,100.21,1
43,406.63,367.64,97.9,31.03,158.97,0
43,51.5,325,55,22,99.78,0
43,195,203,64,22,40.27,1
43,127.5,164.5,65,29,96.85,0
43,318,106.5,64,29,171.28,0
43,93,102.5,68,25,123.49,0
44,247.5,210.5,57,19,66.1,1
44,74.5,123,61,18,92.02,0
45,261.5,225.5,63,21,82.16,1
45,293,14.5,64,27,115.92,0
46,282,169,76,20,112.03,1
46,434.5,141.5,89,27,127.6,0
46,320,136,80,22,126.2,0
46,132.5,10,61,20,219.24,0
47,257,457.5,56,19,151.71,0
47,206,217,58,18,77.2,1
47,314.94,135.91,98.13,25.41,159.2,0
47,189.5,11.5,109,23,121.97,0
48,242,201.5,76,21,65.13,1
48,118.5,99,81,24,32.26,0
48,450,84,58,22,178.38,0
48,142.5,24,115,48,97.3,0
48,32.5,10.5,65,21,44.64,0
49,422,420,114,30,124.76,0
49,253.5,347.5,59,23,142.64,0
49,245.5,206.5,53,23,87.01,1
49,278,195,88,40,106.75,1
49,435.41,150.98,86.85,28.26,107.08,0
49,180,79,80,32,137.3,0
50,255,209,56,18,121.35,1
50,404.5,150.5,87,41,162.42,0
51,204.5,465.5,61,21,44.2,0
51,211.5,193,65,18,153.19,1
52,32,417.5,64,25,137.68,0
52,258.5,225,79,20,92.58,1
53,427.7,450.84,114.83,56.75,147.34,0
53,281.27,391.64,107.7,37.82,160.24,0
53,379,357.5,68,29,150.73,0
53,309,248,64,24,156.81,0
53,192,212.5,68,21,114.41,1
53,45.5,148.5,91,41,108.78,0
53,245.13,118.72,117.11,36.26,106.8,0
54,298.5,443,69,28,224.38,0
54,159.5,226,59,22,56.36,0
54,238,230.5,90,33,78.36,1
54,175.5,12.5,79,25,60.18,0
55,267,217,58,18,66.14,1
55,165.5,211.57,79.02,32.06,90.7,0
55,109.5,18,127,36,73.43,0
56,275,204,62,20,166.88,1
56,269,146.5,56,25,198.01,0
56,68.5,99.5,73,33,57.79,0
57,32,237,64,28,30.16,0
57,126.97,216.29,99.42,41.3,88.7,0
57,345,210,96,36,58.9,0
57,245.26,202.44,104.56,42.22,56.52,1
58,229,226,80,20,155.66,1
59,236.5,233,93,20,111.03,1
60,139,455.5,68,19,166.84,0
60,227.5,199.5,55,19,40.51,1
62,231.5,201.5,73,21,113.33,1
63,237.5,208.5,55,21,96.41,1
63,345,199,48,22,78.04,0
63,126,114.5,56,23,60.5,0
64,64,459,122,40,40.53,0
64,192.5,356.5,61,27,104.6,0
64,200,207,62,20,134.32,1
64,403.41,21.57,156.87,39.61,118.26,0
65,213,190.5,84,37,97.63,1
67,169,412.5,50,21,71.9,0
67,194.5,367,63,26,85.7,0
67,250.5,192.5,63,23,117.22,1
68,216,213,66,20,49.58,1
68,428.02,201.74,95.92,23.79,83.47,0
68,385.5,145,129,40,91.81,0
69,240,230,80,30,111.35,1
69,192,162.5,62,29,137.73,0
70,365.5,321.5,77,35,168.94,0
70,214,190.5,60,19,122.49,1
70,39.95,190.65,88.17,32.16,55.74,0
70,267,127.5,92,27,133.73,0
71,123,362.5,62,21,43.82,0
71,200.5,338.31,88.18,36.1,106.51,0
71,239.5,231.5,63,23,129.45,1
71,421.41,29.67,127.06,47.66,109.04,0
72,229.5,212.5,59,19,119.66,1
72,102,38.5,108,47,120.7,0
73,238.5,218.5,79,19,111.24,1
74,295,432,86,26,131.26,0
74,434.5,423.5,81,37,130.68,0
74,323.01,253.78,130.67,38.37,151.54,0
74,273.5,202.5,65,21,139.49,1
75,268,239,66,26,82.86,1
76,349.5,467.5,81,23,126.7,0
76,288.5,252,65,32,52.09,0
76,204,207,54,20,150.97,1
76,219.5,147,95,34,117.49,0
77,227,210,76,18,105.1,1
77,414.5,119,89,28,158.51,0
78,261,467,106,24,177.78,0
78,207.5,217,57,18,75.92,1
78,303,184,66,26,174.61,0
78,451.5,149,55,20,167.47,0
78,315,120,138,26,166.8,0
79,223.5,216.5,55,19,155.35,1
79,424,179.5,54,23,134.68,0
80,327.5,468,59,22,119.5,0
80,430,262.5,98,41,142.63,0
80,229.5,212.5,53,19,69.43,1
80,110,198.5,56,19,61.47,0
80,440,89.5,64,31,228.28,0
82,322,392.5,90,41,146.61,0
82,139,388.5,88,33,159.95,0
82,217,322.5,54,21,44.94,0
82,272.5,201.5,61,21,121.52,1
83,294,226,62,22,68.66,1
84,367,391,62,24,73.46,0
84,399,335.5,74,35,62.43,0
84,339.5,216.5,61,25,23.2,1
84,206.5,24.5,57,19,0.99,0
85,148.5,221,67,22,147.38,1
85,372.5,170.5,61,19,144.31,0
86,209.5,218,73,20,142.49,1
86,158.5,17,119,34,161.65,0
88,250.5,210.5,69,19,122.69,1
89,256.5,218,61,18,127.44,1
89,325.5,181,91,28,109.3,0
90,417,468.5,66,21,113.03,0
90,307.5,467.5,71,19,124.93,0
90,393,247,56,20,111.64,0
90,289,220,64,22,129.78,1
91,352,381,78,24,54.65,0
91,222.5,223.5,67,21,75.74,1
91,227,198,114,22,99.85,0
91,49,146.5,98,27,126.56,0
92,241,230.5,66,19,160.64,1
92,156.5,222,69,28,62.12,0
92,58,140.5,116,35,54.86,0
92,109,110.5,104,39,80.85,0
93,57,415.5,50,21,146.1,0
93,263.5,213,77,20,103.87,1
94,215,215,94,34,129.53,1
94,429.5,113,99,46,117.16,0
95,205,222,80,20,134.7,1
96,267.06,401.84,110.41,47.9,96.81,0
96,207,216.5,66,29,103.86,1
97,230,207,74,22,72.4,1
97,254.5,102.5,111,39,109.37,0
97,287.48,70.18,151.41,35.97,123.42,0
98,379.5,455.5,55,27,150.53,0
98,257.5,450.5,55,21,107.43,0
98,101,410.5,68,19,130.7,0
98,217.5,202.5,57,19,173.35,1
99,221.5,206,79,22,50.41,1
99,308.5,174,53,20,105.02,0
99,263,53.5,50,23,108.51,0
100,192.5,231.5,63,19,148.39,1
100,103.5,67.5,51,25,102.92,0
100,258.5,59.5,55,19,80.64,0
101,186.5,219,69,20,105.68,1
101,116,189,54,22,132.05,0
102,139.5,459,83,40,110.86,0
102,235.5,217,75,28,102.08,1
102,77.5,18,91,36,69.45,0
103,231.5,231,59,18,112.82,1
104,254.5,205,89,18,123.62,1
104,437.5,16.5,83,33,184.71,0
104,207.5,11.5,61,23,210.28,0
105,222.5,219,67,18,101.84,1
105,144.5,152,53,26,58,0
105,262.5,83.5,81,25,131.23,0
105,452.59,58.8,69.22,32.64,45.89,0
105,365.5,20,81,40,87.71,0
106,149,388,54,20,149.76,0
106,232.5,384,51,24,128.64,0
106,421,381.5,74,35,117.16,0
106,230.5,213.5,57,19,75.13,1
106,315.5,213,63,22,119.85,0
107,321,227,64,20,145.5,0
107,233,221.5,68,21,94.88,1
107,75,144.5,76,37,104.88,0
107,14.5,58,112,29,67.73,0
108,246.5,233.5,77,19,76.34,1
109,252.5,217.5,57,19,117.21,1
110,255.5,216,97,36,132.74,1
111,77,446,70,32,105.14,0
111,274.5,436,59,20,180.51,0
111,270,218,60,20,99.55,1
111,297,180,80,24,117.17,0
112,430.11,266.21,105.76,50.61,49.31,0
112,293.5,216,73,20,44.53,1
112,131.5,170,55,26,214.59,0
113,232.5,216.5,63,21,100.88,1
114,446,434,66,24,176.93,0
114,82,261,50,24,91.38,0
114,410,233,127.59,62.2,174.87,0
114,253,200,68,24,130.16,1
115,35.5,419.5,71,25,73.29,0
115,261,205,72,20,68.88,1
115,38.88,180.52,80.99,25.06,211.77,0
115,94,10,68,20,182.89,0
116,295.5,212,57,20,93.37,1
116,261,125,68,32,124.62,0
116,314.5,81.5,101,29,107.44,0
117,226.5,164,65,20,94.33,1
117,327.5,147.5,81,23,150.77,0
117,162.5,88.5,63,21,102.1,0
117,438.5,12,67,24,134.41,0
118,263.5,162.5,73,21,176.72,1
118,197.5,150.5,49,23,217.15,0
118,89,108.5,116,51,125.92,0
119,219,193,84,20,101.12,1
119,447,107,54,24,87.97,0
120,247,220.5,60,21,59.47,1
121,203.5,217,59,22,167.21,1
121,51,167.5,102,25,68.91,0
121,402,166,88,34,143.65,0
121,137.5,46,51,24,211.57,0
122,35.73,233.15,79.03,37.85,56,0
122,196,200.5,76,27,61.26,1
123,229,203,88,22,75.54,1
123,331.5,95.5,55,23,186.36,0
123,427.5,87.5,79,25,145.3,0
124,246.5,242,95,26,95.54,1
124,43.5,141.5,63,31,101.98,0
125,62.24,450.08,135.03,46.15,172.67,0
125,46,387.5,92,43,112.14,0
125,431.27,353.31,102.56,38.89,136.43,0
125,275.5,185.5,119,49,97.18,1
126,366.5,467,67,24,113.57,0
126,387,434.5,70,23,130.35,0
126,307.5,435.5,61,27,176.45,0
126,263,225,62,20,76.6,1
126,291.5,169,121,32,89.46,0
126,289,140,60,20,62.3,0
127,157,210,64,20,138.6,1
127,442.5,50.5,73,35,75.1,0
128,211.5,394.5,51,23,102.56,0
128,80.5,378.5,77,27,148.96,0
128,271,296.5,96,21,104.33,0
128,124.5,255,101,34,140.52,0
128,243,221.5,76,21,112.92,1
128,415.5,221.5,63,23,122.39,0
128,283,112.5,84,19,146.38,0
128,310.5,82.5,59,25,152.63,0
128,58.5,33.5,91,31,186.18,0
129,238,217,58,20,55.76,1
129,240.5,140,63,18,57.74,0
129,154.5,141,73,22,137.47,0
130,378.67,334.79,85.47,35.11,93.04,0
130,176,210,82,20,104.06,1
130,346,45.5,88,41,143.48,0
130,228,14,106,28,117.85,0
131,300.5,464.5,139,29,174.45,0
131,424.5,459.5,105,31,171.22,0
131,357.5,387,89,32,174.2,0
131,212.5,204,61,18,79.59,1
131,340.5,172.5,91,21,172.41,0
131,122.5,68.5,53,25,99.67,0
132,263,245,64,20,174.53,1
132,110.34,157.19,124.34,44.95,57.36,0
133,274,227,74,24,67.21,1
133,186,185.5,94,25,103.23,0
133,41,180,56,20,116.51,0
134,267.5,176,57,20,153.37,1
134,257.5,107,89,42,156.17,0
134,165,89,120,40,145.84,0
134,246.56,60.87,127.73,24.18,155.35,0
134,365,41,72,32,75.98,0
134,378,14,70,24,61.07,0
134,179.5,17.5,135,35,146.62,0
134,46.5,19,93,38,133.32,0
135,253.5,213,63,20,127.14,1
135,87,156.5,118,25,136.61,0
135,194,146,86,32,145.8,0
135,243.5,112.5,67,31,87.67,0
135,303.32,121.02,123.56,59.23,124.42,0
136,442.5,464,55,24,164.9,0
136,441.75,237.57,79.78,31.56,167.98,0
136,272.5,213.5,81,33,122.44,1
136,347.5,194,89,32,157.73,0
136,230.5,99.5,53,25,67.55,0
137,365,229,62,18,109.33,0
137,260.5,207.5,71,29,46.67,1
138,211.5,231.5,51,21,150.93,1
138,69.5,219.5,119,39,85.08,0
138,307,153,56,26,207.12,0
139,211,229.5,64,21,54.72,1
140,330.5,194,55,20,181.61,0
140,236.29,178.74,155.09,45.15,121.16,1
141,230.5,192.5,65,25,123.05,1
141,153.5,180,83,28,83.23,0
142,355,460,82,24,151.25,0
142,437,228.5,74,19,140.51,0
142,230.5,219,67,20,76.42,1
142,329,190.5,96,41,124.3,0
143,246,205.5,74,19,113.47,1
143,179,120.5,90,23,73.08,0
144,220,235,70,20,132.9,1
144,298.5,211.5,61,25,56.35,0
144,122,178.5,58,19,66.14,0
144,15,53.5,107,30,95.14,0
145,229,177.5,92,27,44.15,1
145,311,148.5,76,31,106.66,0
146,210.66,391.29,103.94,28.28,138.09,0
146,235,213.45,90.43,22.8,102.83,1
146,331,50.5,62,25,94.88,0
147,66.5,454,133,48,132.02,0
147,251,214.5,70,23,110.66,1
147,437.5,169.5,83,39,91.35,0
148,90,462,106,34,47.98,0
148,58.06,345.43,92.03,40.68,88.15,0
148,182,236.5,48,23,110.99,0
148,293.5,215.5,65,19,72.22,1
148,417.5,172,123,42,156.07,0
148,124.5,161,75,26,159.87,0
148,426.5,122,57,26,157.18,0
149,221,212,56,20,62.85,1
149,408.05,203.69,115.2,46.48,154.53,0
149,32.5,114.5,65,27,214.84,0
149,117.5,65.5,57,19,135.62,0
149,93,43,64,18,124.29,0
150,431.5,380.5,63,31,109.61,0
150,379.5,336,67,26,104.55,0
150,268,217.5,84,35,105.61,1
150,49.5,12,99,24,153.8,0
151,232.5,201.5,107,23,119.12,1
151,416,186.5,58,27,107.07,0
152,271.5,204.5,63,19,103.71,1
153,209,206.5,64,21,163.18,1
154,223.5,465.5,87,27,54.54,0
154,370.5,464,65,30,170.41,0
154,442.5,460.5,73,35,128.37,0
154,421.5,277,51,24,196.05,0
154,257.5,224,55,20,72.53,1
155,242,211,96,36,84.65,1
155,163,197.5,56,23,81.98,0
156,75.5,415.5,99,35,122.79,0
156,199,234,64,20,110.43,1
157,223.5,218,69,18,139.12,1
157,213,123,68,24,132.03,0
158,230,367.5,62,25,127.56,0
158,238.5,341.5,61,17,87.75,0
158,258,192,66,22,77.37,1
159,257.5,203.5,53,21,63.54,1
159,266,109,80,30,78.26,0
160,284.5,440,75,30,89.32,0
160,45,430,64,22,4.49,0
160,241,206,76,20,84.66,1
160,334,99.5,80,23,193.13,0
160,105.72,29.53,98.41,36.96,172,0
160,211.5,8,75,16,93.84,0
161,244,210,58,18,81.02,1
161,423.83,125.23,111.34,27.36,106.48,0
161,396.5,8.5,75,17,77.58,0
162,454,237,50,24,126.78,0
162,168,203,66,22,141.88,1
163,185.5,180.5,65,21,64.64,1
164,289.5,224.5,79,21,124.66,1
165,418.5,435,53,20,94.79,0
165,213,223.5,60,21,42.14,1
166,176.5,459,83,30,116.86,0
166,29,252.5,58,27,134.51,0
166,214.5,204,87,34,169.04,1
166,447.5,149,55,22,155.5,0
166,207,123.5,70,29,190.53,0
167,441.9,387.85,86.34,34.05,83.19,0
167,224.5,186,81,20,66.13,1
167,400,138,90,44,98.98,0
168,229.5,204,67,20,124.04,1
168,156.5,183,53,22,224.58,0
169,425.17,438.54,111.36,30.38,95.9,0
169,387.5,407.5,51,23,118.52,0
169,231,341,96,30,109.52,0
169,418.5,322.5,53,23,120.79,0
169,133,212.5,64,23,198.32,1
169,188.5,58,105,48,103.11,0
170,248.5,220,67,20,105.35,1
171,283.4,199.2,129.65,35.42,87.83,1
172,244.5,207.5,65,19,129.51,1
172,427,140.5,52,23,159.73,0
172,64.85,87.23,136.89,38.44,163.14,0
173,451.5,461.5,55,21,68.96,0
173,35.5,448.5,61,21,145.93,0
173,242.5,209.5,87,21,68.18,1
174,395.5,430.5,55,23,107.92,0
174,210,213,64,18,67.59,1
174,301,210.5,58,27,119.41,0
175,278.5,225,65,22,137.99,1
175,96.5,225,93,44,43.61,0
175,195,182,72,26,214.66,0
175,415.5,130.5,53,21,167.14,0
175,45.39,135.09,94.67,33.84,46.63,0
175,296,63.5,64,19,167.31,0
175,365.5,63.5,59,21,166.15,0
176,25.5,468,51,22,193.34,0
176,224.5,232,65,20,91.92,1
177,269.36,459.63,89.9,30.1,148.93,0
177,147.5,380,51,22,72.46,0
177,45.68,392.72,102.7,41.89,109.26,0
177,291,337.5,82,23,170.61,0
177,243.5,224.5,59,19,116.19,1
177,172.5,213,53,22,144.13,0
177,71.5,157.65,87.41,22.87,83.42,0
178,245.5,230.5,67,21,139.77,1
178,333,222.5,64,19,120.62,0
179,54.5,227.5,69,29,96.14,0
179,254.5,203.5,57,21,129.35,1
179,320.8,173.33,121.75,45.88,173.03,0
179,446,95,66,20,183.96,0
179,46.5,92,93,26,57.08,0
179,227,28,102,22,183.78,0
179,422.12,32.97,117.94,49.74,181.51,0
179,52.5,21.5,79,39,70.54,0
180,442,150,74,22,116.36,0
180,257,136,72,22,79.42,1
180,168.5,122.5,69,19,91.95,0
180,259,83,66,30,80.12,0
181,206.5,468.5,61,21,23.19,0
181,289.5,353.5,51,25,85.35,0
181,398,204,76,36,171.66,0
181,282,195.5,82,25,89.53,1
181,238.5,129,99,38,104.31,0
181,397.5,17,163,34,163.12,0
182,72,345,68,20,145.06,0
182,280.5,221.5,91,19,57.53,1
183,195.5,232,63,20,116.39,1
184,297.5,468.5,63,21,107.05,0
184,334,440.5,76,29,108.88,0
184,174.5,226.5,79,21,194.61,1
185,269.5,203,63,20,77.55,1
186,362,388,100,42,116.11,0
186,398,256,72,20,94.1,0
186,205,201,72,20,58.76,1
186,32.5,111,57,20,167.42,0
186,409,120,88,40,109.95,0
186,336.5,9,95,18,142.36,0
187,105,451.5,60,23,42.16,0
187,123.5,365.5,67,23,42.99,0
187,253.5,209.5,73,23,149.89,1
188,63.5,315,119,42,183.49,0
188,325.67,267.36,107.98,37.73,95.14,0
188,212,221.5,64,19,92.74,1
188,439.5,172,53,24,110.51,0
188,334,130,84,40,105.98,0
189,287.5,363.5,51,23,111.75,0
189,235,224,62,20,87.86,1
189,359,205,94,34,129.47,0
189,394.5,23.5,121,47,165.83,0
190,242,235.5,66,23,128.87,1
191,259,211,66,20,127.93,1
191,415.89,170.69,129.57,37.33,155.12,0
192,38.5,417.5,77,31,133.32,0
192,200.5,392,61,22,181.04,0
192,210,331,58,20,182.48,0
192,192,221,60,18,92.36,1
192,391.5,146.5,73,19,150.75,0
192,37.5,69.5,69,27,207.85,0
192,155,17.5,146,35,69.09,0
193,274.5,224.5,65,19,138.74,1
193,176.5,23,63,18,188.67,0
194,350,464.5,82,23,112.03,0
194,221,218,68,20,43.14,1
195,28,374,56,24,19.45,0
195,251.5,213,79,20,130.6,1
195,442,15,74,30,167.11,0
196,297.5,279,67,26,113.18,0
196,187,227,64,20,123.92,1
196,35,183,70,26,68.99,0
196,226.5,173,65,30,217.27,0
196,238.5,37,117,34,189.75,0
197,395.5,468,109,22,160.24,0
197,200.5,457,93,20,94.42,0
197,283,462,112,34,139.78,0
197,83,432,116,56,50.76,0
197,238,211,80,22,111.68,1
197,161.5,204.5,59,19,164.54,0
197,434,174,90,30,153.39,0
197,425.5,132.5,107,43,153.57,0
197,319,125,94,38,162.44,0
197,299.5,81,79,26,163,0
197,53.5,31.5,107,37,203.48,0
198,219.5,357.5,87,31,156.8,0
198,248,240.5,66,21,54.85,1
199,298,246,68,24,153.61,1
199,214.48,217.27,78.86,23.09,201.54,0
199,70.34,149.33,133.51,35.74,169.76,0
200,122.5,406.5,69,21,154.41,0
200,215.5,382,53,26,148.12,0
200,132.5,365,101,36,144.07,0
200,195,190,60,20,41.2,1
200,92.5,113.5,73,35,102.88,0
200,375.78,47.15,121.76,52.15,137.76,0
201,398.5,427.5,61,21,152.15,0
201,234,379,58,26,164.29,0
201,251,236.5,72,23,74.25,1
201,39.5,78,79,30,74.1,0
201,34,41,58,22,119.94,0
202,206,197,88,30,104.67,1
202,260.5,148.5,87,43,134.33,0
203,241.5,222,83,38,90.07,1
203,94.5,56.5,55,23,70.27,0
204,73,271,58,24,101.23,0
204,421.5,243.5,75,27,181.1,0
204,164.5,211,69,20,118.45,0
204,253.5,215,91,34,130.56,1
205,275,186,100,38,139.96,1
205,417,14,102,28,91.59,0
206,337,207.5,62,19,143.35,1
206,259.5,200.5,65,25,171.91,0
207,314,272.5,58,23,136.32,0
207,197.5,216,69,22,98.58,1
207,172,11,52,22,125.82,0
208,290,182,80,20,143.96,0
208,199.18,182.49,85.29,30.87,74.29,1
208,406,67,52,22,128.28,0
209,231,232,72,18,53.39,1
210,341,462.5,82,33,82.5,0
210,73.19,453.52,147.9,34.56,166.1,0
210,402.22,406.01,108.93,41.07,75.91,0
210,173.5,222.5,55,19,142.22,0
210,252,192,80,22,33.3,1
210,221.5,140,61,22,31.15,0
210,290.2,129.6,137.74,42.04,51.66,0
210,54.73,95.67,114.25,49.5,185.85,0
211,384.79,316.82,90.22,39.53,229.81,0
211,218,237.5,84,21,52.99,1
212,223,205.5,56,27,94.28,1
212,60.5,103.5,81,27,48.66,0
212,210.5,77.5,97,45,167.19,0
213,153,467,88,24,126.19,0
213,270,365.5,52,21,169.42,0
213,210,190.5,70,23,70.31,1
214,194,209,76,22,143.79,1
215,246.5,219.5,73,21,65.99,1
215,411,168,50,22,90.07,0
215,444.92,136.72,77.89,33.36,96.37,0
216,438.5,466.5,81,25,180.77,0
216,214,443.5,66,17,109.56,0
216,77,392,128,34,105.95,0
216,272.5,345,67,20,167.8,0
216,38,302,66,22,160.35,0
216,403.5,280.5,93,19,172.15,0
216,166.5,176,69,18,78.09,1
217,240.5,387.5,77,19,126.4,0
217,205.5,226.5,65,19,90.19,1
217,143,210.5,54,23,64.36,0
217,288,203.5,82,29,110.72,0
218,357,468,68,22,224.95,0
218,235,224,78,20,59.89,1
218,354.5,200,107,42,184.57,0
218,370,111,92,24,178.28,0
219,279,212,66,20,117.55,1
220,115.5,421,51,24,179.72,0
220,233.5,230,67,22,156.12,1
220,223.5,194.5,83,29,162.96,0
221,233.5,224.5,61,23,98.5,1
221,443.5,205,71,24,177.31,0
221,420.25,163.4,109.43,37.77,173.71,0
222,322.5,466,65,26,76.02,0
222,434,267.5,88,37,91.2,0
222,244.5,242.5,63,21,65.55,1
222,351,246,80,32,105.64,0
222,160.06,203.65,109.74,39.59,185.93,0
223,330,281,96,42,115.67,0
223,285.5,258,59,28,98.28,0
223,214,223.5,80,21,83.14,1
224,235,221,76,26,143.08,1
224,233.68,154.92,86.73,33.5,174.92,0
224,199,10.5,62,19,216.66,0
225,247,244,88,22,91.75,1
225,155.88,234.08,111.72,48.45,86.6,0
226,260.5,233.5,61,19,75.68,1
226,325,212.5,50,23,131.93,0
227,285,251,66,20,76.25,1
227,166.5,242,137,40,146.29,0
227,30,137,60,20,70.03,0
228,59,469,58,20,20.51,0
228,206.5,204.5,73,23,91.98,1
229,220.5,213.5,81,19,34.23,1
229,306.5,190,69,22,162.13,0
229,440,150,78,30,131.95,0
230,240.5,207,67,20,81.33,1
230,70.41,198.39,131.2,42.57,192.76,0
230,70.5,78.5,73,25,141.94,0
231,109,463.5,160,31,99.14,0
231,86.5,296,57,20,179.63,0
231,409,294.5,60,29,132.22,0
231,88,249.5,94,37,126.53,0
231,264,235.5,72,21,131.66,1
232,288,437.5,140,59,119.2,0
232,139.5,383,61,26,183.7,0
232,209.5,206.5,63,21,96.14,1
233,229.5,212,103,36,114.96,1
234,306.5,278,65,32,100.68,0
234,241,204,58,22,94.74,1
234,159.5,196,85,24,123.03,0
234,180,137.5,54,21,171.55,0
234,428.01,17.65,103.41,33.04,52.15,0
235,241,208.5,66,21,24.76,1
236,297,441.5,50,21,70.32,0
236,259.5,234.5,63,21,47.99,1
236,352.5,213.5,51,21,78.95,0
236,32.5,166,65,26,143.34,0
236,396,112.5,100,23,82.16,0
236,154,17,78,34,164.87,0
237,227,221,62,18,26.15,1
237,357,135,86,34,191.61,0
238,34,467.5,68,23,137.44,0
238,260.5,193,55,20,29.7,1
239,69,468,84,22,155.71,0
239,268.5,216,91,22,80.69,1
240,442.57,375.17,87.32,33.22,100.5,0
240,399,301,88,26,106.42,0
240,227,213,66,22,103.05,1
240,138.5,184.5,79,27,218.97,0
240,344.44,149.32,87,25.53,165.89,0
241,247.64,405.07,113.55,37.94,114.47,0
241,214,200,68,22,71.87,1
243,72.5,458,85,34,110.5,0
243,167.5,458,87,42,88.62,0
243,253.5,220,59,18,77.89,1
243,372.39,184.52,105.36,34.81,185.94,0
244,45.5,276.5,91,39,205.32,0
244,305.28,198.14,117.17,45,65.73,1
244,90.5,174,59,22,52.52,0
244,44.44,72.9,90.88,30.71,180.08,0
