image,x,y,width,height,B,G,R,label
46,314.94,135.91,98.13,25.41,159.31,160.36,160.2,0
46,189.5,11.5,109,23,116.59,126.61,119.83,0
47,242,201.5,76,21,44.92,71.97,69.05,1
47,118.5,99,81,24,19.48,55.94,22.45,0
47,450,84,58,22,174.51,187.17,163.38,0
47,142.5,24,115,48,71.98,108.95,84.14,0
47,32.5,10.5,65,21,13.69,79.68,17.19,0
48,422,420,114,30,122.94,139.97,112.78,0
48,253.5,347.5,59,23,140.83,147.3,146.22,0
48,245.5,206.5,53,23,92.31,93.11,90.05,1
48,278,195,88,40,111.31,113.11,107.89,1
48,435.41,150.98,86.85,28.26,111.73,117.91,100.1,0
48,180,79,80,32,140.77,141.2,140.9,0
49,255,209,56,18,119.25,123.47,118.12,1
49,404.5,150.5,87,41,162.42,171.26,145.7,0
50,204.5,465.5,61,21,36.26,48.99,37.95,0
50,211.5,193,65,18,143.1,156.52,121.01,1
51,32,417.5,64,25,124.56,148.38,122.69,0
51,258.5,225,79,20,96.89,102.56,83.96,1
52,427.7,450.84,114.83,56.75,150.27,157.67,148.75,0
52,281.27,391.64,107.7,37.82,166.64,166.33,166.38,0
52,379,357.5,68,29,139.92,169.42,138.03,0
52,309,248,64,24,163.38,163.38,163.38,0
52,192,212.5,68,21,132.16,138.38,110.3,1
52,45.5,148.5,91,41,81.92,130.92,106.24,0
52,245.13,118.72,117.11,36.26,112.3,118.58,113.57,0
53,298.5,443,69,28,224.55,224.55,224.55,0
53,159.5,226,59,22,50.28,58.17,55.23,0
53,238,230.5,90,33,76.21,93.67,70.82,1
53,175.5,12.5,79,25,61.57,63.82,52.6,0
54,267,217,58,18,75.69,73.89,47.29,1
54,165.5,211.57,79.02,32.06,95.87,94.16,79.94,0
54,109.5,18,127,36,75.36,80.84,58.18,0
55,275,204,62,20,168.08,168.08,168.08,1
55,269,146.5,56,25,199.01,199.01,199.01,0
55,68.5,99.5,73,33,37.85,74.25,56.49,0
56,32,237,64,28,17.24,39.18,17.56,0
56,126.97,216.29,99.42,41.3,79.92,97.05,75.76,0
56,345,210,96,36,43.61,80.5,22.9,0
56,245.26,202.44,104.56,42.22,50.81,78.17,37.35,1
57,229,226,80,20,159.86,162.94,128.88,1
58,236.5,233,93,20,116.82,116.33,101.54,1
59,139,455.5,68,19,163.11,170.31,161.56,0
59,227.5,199.5,55,19,38.38,46.44,46.56,1
61,231.5,201.5,73,21,97.55,121.57,99.47,1
62,237.5,208.5,55,21,95.6,100.03,86.2,1
62,345,199,48,22,75.67,91.56,52.56,0
62,126,114.5,56,23,38.66,95.54,29.91,0
63,64,459,122,40,29.08,43.51,39.3,0
63,192.5,356.5,61,27,109.4,104.79,102.37,0
63,200,207,62,20,137.99,148.11,107.77,1
63,403.41,21.57,156.87,39.61,117.39,123.22,113.47,0
64,213,190.5,84,37,84.41,104.35,89.69,1
66,169,412.5,50,21,30.85,86.64,59.18,0
66,194.5,367,63,26,74.52,88.7,84.22,0
66,250.5,192.5,63,23,117.26,118.84,114.1,1
67,216,213,66,20,55.63,61.09,62.09,1
67,428.02,201.74,95.92,23.79,87.25,106.81,36.29,0
67,385.5,145,129,40,102.7,108.98,54.3,0
68,240,230,80,30,103.5,125.83,91.74,1
68,192,162.5,62,29,126.56,149.51,128.34,0
69,365.5,321.5,77,35,165.58,176.9,156.92,0
69,214,190.5,60,19,120.62,131.7,97.83,1
69,39.95,190.65,88.17,32.16,33.83,62.48,54.46,0
69,267,127.5,92,27,133.93,136.74,131.15,0
70,123,362.5,62,21,30.96,50.59,35.77,0
70,200.5,338.31,88.18,36.1,103.55,108.49,103.84,0
70,239.5,231.5,63,23,133.33,144.83,111.07,1
70,421.41,29.67,127.06,47.66,106.25,109.57,109.04,0
71,229.5,212.5,59,19,103.08,134.34,99.13,1
71,102,38.5,108,47,140,127.48,105.29,0
72,238.5,218.5,79,19,93.93,112.98,109.61,1
73,295,432,86,26,145.5,137.97,132.25,0
73,434.5,423.5,81,37,136.31,145.42,124.16,0
73,323.01,253.78,130.67,38.37,162.05,161.2,144.46,0
73,273.5,202.5,65,21,150.89,149.36,134.3,1
74,268,239,66,26,84.86,94.93,76.35,1
75,349.5,467.5,81,23,115.49,135.7,113.75,0
75,288.5,252,65,32,37.28,69.91,38.66,0
75,204,207,54,20,143.84,163.42,124.34,1
75,219.5,147,95,34,107.58,119.33,117.81,0
76,227,210,76,18,108.78,119.14,93.87,1
76,414.5,119,89,28,158.67,162.71,150.5,0
77,261,467,106,24,177.78,177.78,177.78,0
77,207.5,217,57,18,103.44,100.26,59.58,1
77,303,184,66,26,174.61,174.64,174.56,0
77,451.5,149,55,20,166.46,175.65,152.47,0
77,315,120,138,26,166.48,166.86,166.8,0
78,223.5,216.5,55,19,157.43,166.5,134.98,1
78,424,179.5,54,23,153.68,133.86,128.77,0
79,327.5,468,59,22,122.8,122.83,112.46,0
79,430,262.5,98,41,153.96,145.65,132.45,0
79,229.5,212.5,53,19,70.77,89.06,48.93,1
79,110,198.5,56,19,43.16,66.24,59.18,0
79,440,89.5,64,31,223.36,229.23,228.28,0
81,322,392.5,90,41,146.61,146.61,146.61,0
81,139,388.5,88,33,158.65,161.66,157.1,0
81,217,322.5,54,21,44.92,45.36,44.16,0
81,272.5,201.5,61,21,121.52,126.94,111.33,1
82,294,226,62,22,55.85,71.32,68.66,1
83,367,391,62,24,55.26,105.63,46.18,0
83,399,335.5,74,35,50.65,93.73,30.51,0
83,339.5,216.5,61,25,5.76,35.5,5.79,1
83,206.5,24.5,57,19,0.99,0.99,0.99,0
84,148.5,221,67,22,144.79,146.94,163.54,1
84,372.5,170.5,61,19,168.08,149.59,140.04,0
85,209.5,218,73,20,143.99,152.54,123.91,1
85,158.5,17,119,34,161.81,163.67,158.91,0
87,250.5,210.5,69,19,113.52,127.09,112.48,1
88,256.5,218,61,18,120.76,133.2,117.43,1
88,325.5,181,91,28,103.88,117.34,96.15,0
89,417,468.5,66,21,133.34,128.09,128.94,0
89,307.5,467.5,71,19,139.75,139.75,139.75,0
89,393,247,56,20,146.68,128.46,118.71,0
89,289,220,64,22,152.67,142.43,144.14,1
90,352,381,78,24,84.08,87.81,1.26,0
90,222.5,223.5,67,21,99.21,89.73,42.4,1
90,227,198,114,22,104.8,120.42,60.9,0
90,49,146.5,98,27,74.49,143.04,114.12,0
91,241,230.5,66,19,160.82,172.79,131.87,1
91,156.5,222,69,28,69.78,66.03,51.83,0
91,58,140.5,116,35,36.89,63.31,45.46,0
91,109,110.5,104,39,64.32,103.02,60.98,0
92,57,415.5,50,21,146.4,148.24,147.94,0
92,263.5,213,77,20,110.96,106.81,102.78,1
93,215,215,94,34,130.64,136.6,120.76,1
93,429.5,113,99,46,117.16,112.21,126.54,0
94,205,222,80,20,144.86,147.83,113.61,1
95,267.06,401.84,110.41,47.9,86.35,97.66,99.12,0
95,207,216.5,66,29,105.47,118.58,92.43,1
96,230,207,74,22,75.21,96.05,59.57,1
96,254.5,102.5,111,39,87.09,116.72,104.03,0
96,287.48,70.18,151.41,35.97,105.57,130.07,117.56,0
97,379.5,455.5,55,27,149.62,151.76,148.51,0
97,257.5,450.5,55,21,100.94,109.09,106.54,0
97,101,410.5,68,19,134.86,135.68,119.61,0
97,217.5,202.5,57,19,160.27,178.49,142.49,1
98,221.5,206,79,22,49.42,62.82,54.68,1
98,308.5,174,53,20,105.02,114.68,86.65,0
98,263,53.5,50,23,108.51,119.29,87.88,0
99,192.5,231.5,63,19,149.12,157.1,129.85,1
99,103.5,67.5,51,25,59.92,121.66,86.96,0
99,258.5,59.5,55,19,56.14,92.79,66.36,0
100,186.5,219,69,20,143.94,119.87,87.08,1
100,116,189,54,22,145.6,137.02,128.54,0
101,139.5,459,83,40,105.94,114.15,106.44,0
101,235.5,217,75,28,104.25,116.73,87.65,1
101,77.5,18,91,36,71.34,78.06,54.38,0
102,231.5,231,59,18,130.07,127.59,88.22,1
103,254.5,205,89,18,127.78,124.54,117.29,1
103,437.5,16.5,83,33,188.89,184.39,183.73,0
103,207.5,11.5,61,23,227.55,207.02,209.6,0
104,222.5,219,67,18,94.74,119.08,79.09,1
104,144.5,152,53,26,28.26,71.53,75.88,0
104,262.5,83.5,81,25,152.55,136.53,112.95,0
104,452.59,58.8,69.22,32.64,17.87,70.83,7.8,0
104,365.5,20,81,40,85.91,110.31,44.29,0
105,149,388,54,20,146.53,153.43,144.05,0
105,232.5,384,51,24,137.21,134.42,114.38,0
105,421,381.5,74,35,113.25,128.76,100.56,0
105,230.5,213.5,57,19,78.93,95.62,61.43,1
105,315.5,213,63,22,119.85,127.85,104.85,0
106,321,227,64,20,147.51,147.51,147.51,0
106,233,221.5,68,21,112.17,110.99,81.47,1
106,75,144.5,76,37,106.3,115.01,94.07,0
106,14.5,58,112,29,52.95,83.52,65.08,0
107,246.5,233.5,77,19,90.75,96.41,65.57,1
108,252.5,217.5,57,19,112.72,121.21,116.69,1
109,255.5,216,97,36,129.18,141.34,115.73,1
110,77,446,70,32,98.95,107.4,103.17,0
110,274.5,436,59,20,180.82,175.67,189.55,0
110,270,218,60,20,99.55,95.12,107.94,1
110,297,180,80,24,117.17,112.93,125.2,0
111,430.11,266.21,105.76,50.61,48.91,50.93,46.33,0
111,293.5,216,73,20,44.53,45.81,42.1,1
111,131.5,170,55,26,199.05,216.32,217.57,0
112,232.5,216.5,63,21,109.11,117.33,90.59,1
113,446,434,66,24,160.75,183.93,160.75,0
113,82,261,50,24,75.84,92.66,95,0
113,410,233,127.59,62.2,172.44,180,166.11,0
113,253,200,68,24,122.53,131.72,130.16,1
114,35.5,419.5,71,25,39.62,83.13,76.02,0
114,261,205,72,20,71.58,75.61,63.64,1
114,38.88,180.52,80.99,25.06,205.43,214.68,212.4,0
114,94,10,68,20,164.48,190.28,180.4,0
115,295.5,212,57,20,151.69,104.51,49.46,1
115,261,125,68,32,181.6,128.82,95.21,0
115,314.5,81.5,101,29,167.68,116.65,66.56,0
116,226.5,164,65,20,79.69,97.45,94.07,1
116,327.5,147.5,81,23,130.82,154.52,151.51,0
116,162.5,88.5,63,21,92.22,103.07,104.05,0
116,438.5,12,67,24,115.41,138.33,134.55,0
117,263.5,162.5,73,21,176.72,176.93,176.33,1
117,197.5,150.5,49,23,217.15,217.1,217.24,0
117,89,108.5,116,51,83.4,149.91,101.66,0
118,219,193,84,20,100.8,118.91,96.32,1
118,447,107,54,24,84.38,110.67,45,0
119,247,220.5,60,21,46.09,82.49,51.52,1
120,203.5,217,59,22,165.76,174.99,122.05,1
120,51,167.5,102,25,65.65,77.47,53.96,0
120,402,166,88,34,179.92,144.76,128.65,0
120,137.5,46,51,24,193.68,218.16,197.48,0
121,35.73,233.15,79.03,37.85,38.86,65.58,44.5,0
121,196,200.5,76,27,60.29,72.47,69.07,1
122,229,203,88,22,58.93,88.57,75.98,1
122,331.5,95.5,55,23,186.53,186.34,186.36,0
122,427.5,87.5,79,25,155.98,154.11,123.93,0
123,246.5,242,95,26,104.13,105.34,77.66,1
123,43.5,141.5,63,31,93.5,109.81,90.29,0
124,62.24,450.08,135.03,46.15,149.64,181.05,165.14,0
124,46,387.5,92,43,77.97,121.2,107.5,0
124,431.27,353.31,102.56,38.89,147.31,140.45,125.11,0
124,275.5,185.5,119,49,97.18,98.28,95.07,1
125,366.5,467,67,24,115.63,114.46,114.41,0
125,387,434.5,70,23,131.35,131.35,131.35,0
125,307.5,435.5,61,27,182.29,179.42,171.77,0
125,263,225,62,20,78.66,84.53,67.9,1
125,291.5,169,121,32,91.91,91.93,87.12,0
125,289,140,60,20,62.22,63.5,63.3,0
126,157,210,64,20,135.48,140.05,136.87,1
126,442.5,50.5,73,35,71.13,76.11,74.69,0
127,211.5,394.5,51,23,124.21,114.39,100.74,0
127,80.5,378.5,77,27,149.18,157.53,153.17,0
127,271,296.5,96,21,111.91,122.97,94.6,0
127,124.5,255,101,34,149.85,148.56,143.84,0
127,243,221.5,76,21,124.07,134.81,99.4,1
127,415.5,221.5,63,23,139.36,141.17,108.7,0
127,283,112.5,84,19,148.7,159.27,141.45,0
127,310.5,82.5,59,25,158.73,158.77,158.65,0
127,58.5,33.5,91,31,161.32,200.86,172.78,0
128,238,217,58,20,73.88,72.21,30.37,1
128,240.5,140,63,18,84.55,62.37,38.59,0
128,154.5,141,73,22,149.4,147.8,117.7,0
129,378.67,334.79,85.47,35.11,81.05,110.03,67.85,0
129,176,210,82,20,76.01,106.7,123.37,1
129,346,45.5,88,41,142.38,151.8,128.04,0
129,228,14,106,28,97.3,124.15,113.46,0
130,300.5,464.5,139,29,178.23,182.12,172.21,0
130,424.5,459.5,105,31,165.39,179.96,165.39,0
130,357.5,387,89,32,168.58,183.5,166.41,0
130,212.5,204,61,18,102.38,101.71,75.12,1
130,340.5,172.5,91,21,176.44,184.44,161.44,0
130,122.5,68.5,53,25,106.17,106.88,106.82,0
131,263,245,64,20,167.59,183.03,141.63,1
131,110.34,157.19,124.34,44.95,43.84,70.51,49.39,0
132,274,227,74,24,79.2,75.83,71.09,1
132,186,185.5,94,25,109.95,114.29,104.49,0
132,41,180,56,20,105.88,130.61,111.32,0
133,267.5,176,57,20,169.95,161.01,149.75,1
133,257.5,107,89,42,172.24,161.75,155.9,0
133,165,89,120,40,137.56,139.53,180.32,0
133,246.56,60.87,127.73,24.18,161.91,162.03,156.83,0
133,365,41,72,32,61.61,97.01,70.55,0
133,378,14,70,24,46.92,82.07,57.96,0
133,179.5,17.5,135,35,145.31,148.59,162.02,0
133,46.5,19,93,38,127.41,147.12,135.18,0
134,253.5,213,63,20,122.26,135.84,112.16,1
134,87,156.5,118,25,102.68,151.89,118.85,0
134,194,146,86,32,125.96,156.99,125.71,0
134,243.5,112.5,67,31,100.73,100.59,57.3,0
134,303.32,121.02,123.56,59.23,125.54,134.09,105.47,0
135,442.5,464,55,24,151.62,172.29,151.62,0
135,441.75,237.57,79.78,31.56,169.7,175.62,152.98,0
135,272.5,213.5,81,33,122.45,122.45,122.44,1
135,347.5,194,89,32,157.72,159.69,154.06,0
135,230.5,99.5,53,25,44.26,76.04,60.02,0
136,365,229,62,18,100.43,117.36,96.67,0
136,260.5,207.5,71,29,44.87,49.07,42.69,1
137,211.5,231.5,51,21,150.3,168.4,135.79,1
137,69.5,219.5,119,39,86.51,89.72,101.51,0
137,307,153,56,26,190.74,213.72,209.74,0
138,211,229.5,64,21,54.74,75.75,43.82,1
139,330.5,194,55,20,181.86,181.57,181.61,0
139,236.29,178.74,155.09,45.15,119.17,130.65,112.15,1
140,230.5,192.5,65,25,105.06,132.29,104.85,1
140,153.5,180,83,28,60.21,97.8,69.49,0
141,355,460,82,24,132.91,147.13,166.24,0
141,437,228.5,74,19,127.41,137.67,151,0
141,230.5,219,67,20,77.69,93.35,68.38,1
141,329,190.5,96,41,115.07,122.91,130.52,0
142,246,205.5,74,19,116.03,119.44,123.8,1
142,179,120.5,90,23,64.23,84.2,73.16,0
143,220,235,70,20,131.57,145.41,121.22,1
143,298.5,211.5,61,25,45.97,67.71,38.35,0
143,122,178.5,58,19,82.25,73.79,45.08,0
143,15,53.5,107,30,95.38,118.63,75.87,0
144,229,177.5,92,27,51.02,50.97,34.79,1
144,311,148.5,76,31,125.66,112.65,87.65,0
145,210.66,391.29,103.94,28.28,137.53,135.47,143.36,0
145,235,213.45,90.43,22.8,95.29,108.64,103.78,1
145,331,50.5,62,25,99.26,95.47,92.08,0
146,66.5,454,133,48,101.54,141.61,124.9,0
146,251,214.5,70,23,101.79,119.41,92.9,1
146,437.5,169.5,83,39,91.35,99.35,76.35,0
147,90,462,106,34,14.25,69.16,19.39,0
147,58.06,345.43,92.03,40.68,36.4,118.36,48.76,0
147,182,236.5,48,23,98.59,119.06,100.35,0
147,293.5,215.5,65,19,63.78,77.77,64.84,1
147,417.5,172,123,42,152.44,166.48,137.68,0
147,124.5,161,75,26,136.23,171.92,149.01,0
147,426.5,122,57,26,149.19,171.1,133.1,0
148,221,212,56,20,71.27,82.94,57.97,1
148,408.05,203.69,115.2,46.48,154.96,156.02,151.51,0
148,32.5,114.5,65,27,178.41,209.74,238.75,0
148,117.5,65.5,57,19,96.17,139.99,136.54,0
148,93,43,64,18,105.74,111.46,167.96,0
149,431.5,380.5,63,31,132.56,109.56,113.56,0
149,379.5,336,67,26,126.31,106.02,107.49,0
149,268,217.5,84,35,121.55,111.71,105.97,1
149,49.5,12,99,24,113.39,170.48,146.67,0
150,232.5,201.5,107,23,121.7,124.88,105.09,1
150,416,186.5,58,27,107.15,107.06,107.07,0
151,271.5,204.5,63,19,83.01,109.79,100.21,1
152,209,206.5,64,21,155.18,175.1,131.53,1
153,223.5,465.5,87,27,66.04,61.88,68.8,0
153,370.5,464,65,30,188.94,172.93,173.03,0
153,442.5,460.5,73,35,149.69,141.14,122.46,0
153,421.5,277,51,24,203.98,199.89,196.31,0
153,257.5,224,55,20,82.82,88.09,75.69,1
154,242,211,96,36,92.4,98.22,71.71,1
154,163,197.5,56,23,79.7,92.51,64.03,0
155,75.5,415.5,99,35,124.39,129.88,128.87,0
155,199,234,64,20,115.08,123.71,103.94,1
156,223.5,218,69,18,144.29,152.13,117.19,1
156,213,123,68,24,127.16,131.1,135.74,0
157,230,367.5,62,25,163.58,128.22,112.99,0
157,238.5,341.5,61,17,107.41,90.97,74.13,0
157,258,192,66,22,88.71,81.17,65.67,1
158,257.5,203.5,53,21,61.69,69.36,52.92,1
158,266,109,80,30,68.32,84.21,70.77,0
159,284.5,440,75,30,63.21,102.56,73.44,0
159,45,430,64,22,3.26,5.17,3.63,0
159,241,206,76,20,79.18,95.99,69.78,1
159,334,99.5,80,23,191.41,196.7,186.99,0
159,105.72,29.53,98.41,36.96,155.43,183.13,154.93,0
159,211.5,8,75,16,75.5,110.09,69.27,0
160,244,210,58,18,67.56,92.38,67.6,1
160,423.83,125.23,111.34,27.36,84.9,124.55,80.06,0
160,396.5,8.5,75,17,47.89,101.87,41.56,0
161,454,237,50,24,145.78,130.78,111.78,0
161,168,203,66,22,140.77,148.09,126.21,1
162,185.5,180.5,65,21,68.44,82.92,44.53,1
163,289.5,224.5,79,21,119.72,126.46,123.07,1
164,418.5,435,53,20,90.13,108.69,86.1,0
164,213,223.5,60,21,59.38,64.68,33.45,1
165,176.5,459,83,30,104.24,123.35,109,0
165,29,252.5,58,27,82.44,153.33,117.43,0
165,214.5,204,87,34,159.8,176.23,154.14,1
165,447.5,149,55,22,141.16,173.77,123.12,0
165,207,123.5,70,29,186.53,191.13,190.86,0
166,441.9,387.85,86.34,34.05,113.2,108.95,26.69,0
166,224.5,186,81,20,71.34,81.04,50.16,1
166,400,138,90,44,135.91,115.09,53.7,0
167,229.5,204,67,20,122.61,136.91,101.43,1
167,156.5,183,53,22,221.08,229.92,200.15,0
168,425.17,438.54,111.36,30.38,88.57,104.63,90.54,0
168,387.5,407.5,51,23,102.78,137.78,102.78,0
168,231,341,96,30,101.55,109.29,112.99,0
168,418.5,322.5,53,23,120.79,128.75,105.87,0
168,133,212.5,64,23,194.57,200.27,195.94,1
168,188.5,58,105,48,103.03,104.45,100.67,0
169,248.5,220,67,20,102.81,115.77,95.33,1
170,283.4,199.2,129.65,35.42,93.13,95.37,75.93,1
171,244.5,207.5,65,19,97.49,133.52,141.96,1
171,427,140.5,52,23,122.73,158.73,174.73,0
171,64.85,87.23,136.89,38.44,146.99,172.84,151.73,0
172,451.5,461.5,55,21,62.15,89.97,62.15,0
172,35.5,448.5,61,21,137.45,154.09,133.62,0
172,242.5,209.5,87,21,63.94,82.2,64.98,1
173,395.5,430.5,55,23,105.96,110.59,105.96,0
173,210,213,64,18,77.98,87.9,58.62,1
173,301,210.5,58,27,117.29,119.81,119.41,0
174,278.5,225,65,22,125.68,141.53,136.16,1
174,96.5,225,93,44,42.35,46.17,39.14,0
174,195,182,72,26,192.71,212.3,204.65,0
174,415.5,130.5,53,21,167.14,167.23,166.97,0
174,45.39,135.09,94.67,33.84,45.97,52.96,34.92,0
174,296,63.5,64,19,165.25,168,166.7,0
174,365.5,63.5,59,21,166.15,166.15,166.15,0
175,25.5,468,51,22,149.56,205.72,185.91,0
175,224.5,232,65,20,106.24,114.29,81.03,1
176,269.36,459.63,89.9,30.1,153.72,151.28,146.78,0
176,147.5,380,51,22,74.34,74.34,74.34,0
176,45.68,392.72,102.7,41.89,93.86,115.84,108.11,0
176,291,337.5,82,23,167.65,174.48,165.89,0
176,243.5,224.5,59,19,108.46,125.64,90.94,1
